Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
NEUTRAL;17 633;18 467;17 318;17 781;16 717;17 837;16 569;17 627;15 859;16 885;15 795;16 717
LOW_RAISE;16 717;17 837;16 569;17 627;15 859;16 885;15 795;16 717;15 996;16 149;15 824;15 865
LOW_RAISE;15 859;16 885;15 795;16 717;15 996;16 149;15 824;15 865;16 287;16 362;15 738;15 997
NEUTRAL;15 996;16 149;15 824;15 865;16 287;16 362;15 738;15 997;16 155;16 486;15 984;16 287
LOW_FALL;16 287;16 362;15 738;15 997;16 155;16 486;15 984;16 287;15 799;16 204;15 499;16 150
NEUTRAL;16 155;16 486;15 984;16 287;15 799;16 204;15 499;16 150;15 393;15 959;15 293;15 799
LOW_RAISE;15 799;16 204;15 499;16 150;15 393;15 959;15 293;15 799;15 392;15 470;15 092;15 393
LOW_RAISE;15 393;15 959;15 293;15 799;15 392;15 470;15 092;15 393;15 333;15 845;14 866;15 392
NEUTRAL;15 392;15 470;15 092;15 393;15 333;15 845;14 866;15 392;14 846;15 652;14 692;15 347
NEUTRAL;15 333;15 845;14 866;15 392;14 846;15 652;14 692;15 347;15 549;15 760;14 428;14 846
LOW_RAISE;14 846;15 652;14 692;15 347;15 549;15 760;14 428;14 846;15 244;15 937;15 206;15 561
LOW_FALL;15 549;15 760;14 428;14 846;15 244;15 937;15 206;15 561;14 005;15 291;14 005;15 244
LOW_RAISE;15 244;15 937;15 206;15 561;14 005;15 291;14 005;15 244;13 733;14 240;13 556;14 002
HIGH_RAISE;14 005;15 291;14 005;15 244;13 733;14 240;13 556;14 002;13 619;13 798;13 308;13 733
LOW_RAISE;13 733;14 240;13 556;14 002;13 619;13 798;13 308;13 733;13 816;13 837;13 243;13 622
NEUTRAL;13 619;13 798;13 308;13 733;13 816;13 837;13 243;13 622;13 847;13 894;13 645;13 816
LOW_FALL;13 816;13 837;13 243;13 622;13 847;13 894;13 645;13 816;13 644;14 047;13 440;13 841
NEUTRAL;13 847;13 894;13 645;13 816;13 644;14 047;13 440;13 841;13 484;13 673;13 146;13 644
LOW_RAISE;13 644;14 047;13 440;13 841;13 484;13 673;13 146;13 644;13 208;13 641;12 990;13 482
LOW_RAISE;13 484;13 673;13 146;13 644;13 208;13 641;12 990;13 482;13 619;13 847;12 925;13 208
LOW_RAISE;13 208;13 641;12 990;13 482;13 619;13 847;12 925;13 208;13 025;13 754;13 000;13 632
LOW_FALL;13 619;13 847;12 925;13 208;13 025;13 754;13 000;13 632;13 038;13 242;12 810;13 025
LOW_RAISE;13 025;13 754;13 000;13 632;13 038;13 242;12 810;13 025;13 103;13 339;12 911;13 040
NEUTRAL;13 038;13 242;12 810;13 025;13 103;13 339;12 911;13 040;12 941;13 161;12 887;13 103
NEUTRAL;13 103;13 339;12 911;13 040;12 941;13 161;12 887;13 103;13 128;13 197;12 746;12 941
LOW_RAISE;12 941;13 161;12 887;13 103;13 128;13 197;12 746;12 941;12 856;13 216;12 706;13 128
LOW_FALL;13 128;13 197;12 746;12 941;12 856;13 216;12 706;13 128;11 904;12 905;11 889;12 853
LOW_RAISE;12 856;13 216;12 706;13 128;11 904;12 905;11 889;12 853;11 732;12 044;11 693;11 904
HIGH_RAISE;11 904;12 905;11 889;12 853;11 732;12 044;11 693;11 904;11 447;11 811;11 419;11 732
LOW_RAISE;11 732;12 044;11 693;11 904;11 447;11 811;11 419;11 732;11 357;11 500;11 345;11 447
LOW_RAISE;11 447;11 811;11 419;11 732;11 357;11 500;11 345;11 447;11 319;11 406;11 283;11 356
NEUTRAL;11 357;11 500;11 345;11 447;11 319;11 406;11 283;11 356;11 558;11 558;11 231;11 314
NEUTRAL;11 319;11 406;11 283;11 356;11 558;11 558;11 231;11 314;11 398;11 593;11 288;11 544
LOW_FALL;11 558;11 558;11 231;11 314;11 398;11 593;11 288;11 544;11 437;11 546;11 306;11 396
LOW_RAISE;11 398;11 593;11 288;11 544;11 437;11 546;11 306;11 396;11 564;11 719;11 322;11 437
NEUTRAL;11 437;11 546;11 306;11 396;11 564;11 719;11 322;11 437;11 342;11 599;11 225;11 564
LOW_FALL;11 564;11 719;11 322;11 437;11 342;11 599;11 225;11 564;11 371;11 436;11 277;11 350
LOW_RAISE;11 342;11 599;11 225;11 564;11 371;11 436;11 277;11 350;11 041;11 464;11 029;11 371
NEUTRAL;11 371;11 436;11 277;11 350;11 041;11 464;11 029;11 371;10 894;11 099;10 848;11 042
LOW_RAISE;11 041;11 464;11 029;11 371;10 894;11 099;10 848;11 042;10 662;10 945;10 558;10 894
LOW_RAISE;10 894;11 099;10 848;11 042;10 662;10 945;10 558;10 894;10 557;10 678;10 546;10 660
LOW_RAISE;10 662;10 945;10 558;10 894;10 557;10 678;10 546;10 660;10 740;10 797;10 544;10 557
NEUTRAL;10 557;10 678;10 546;10 660;10 740;10 797;10 544;10 557;10 652;10 754;10 635;10 741
LOW_FALL;10 740;10 797;10 544;10 557;10 652;10 754;10 635;10 741;10 580;10 700;10 536;10 652
NEUTRAL;10 652;10 754;10 635;10 741;10 580;10 700;10 536;10 652;10 540;10 607;10 475;10 580
NEUTRAL;10 580;10 700;10 536;10 652;10 540;10 607;10 475;10 580;10 613;10 668;10 401;10 540
NEUTRAL;10 540;10 607;10 475;10 580;10 613;10 668;10 401;10 540;10 707;10 920;10 471;10 613
NEUTRAL;10 613;10 668;10 401;10 540;10 707;10 920;10 471;10 613;10 761;10 865;10 675;10 711
NEUTRAL;10 707;10 920;10 471;10 613;10 761;10 865;10 675;10 711;10 871;10 892;10 647;10 761
NEUTRAL;10 761;10 865;10 675;10 711;10 871;10 892;10 647;10 761;10 727;10 948;10 712;10 871
LOW_FALL;10 871;10 892;10 647;10 761;10 727;10 948;10 712;10 871;10 721;10 802;10 609;10 727
LOW_RAISE;10 727;10 948;10 712;10 871;10 721;10 802;10 609;10 727;10 713;10 798;10 661;10 720
NEUTRAL;10 721;10 802;10 609;10 727;10 713;10 798;10 661;10 720;10 624;10 772;10 576;10 713
NEUTRAL;10 713;10 798;10 661;10 720;10 624;10 772;10 576;10 713;10 216;10 705;10 204;10 637
NEUTRAL;10 624;10 772;10 576;10 713;10 216;10 705;10 204;10 637;10 521;10 579;10 144;10 216
LOW_RAISE;10 216;10 705;10 204;10 637;10 521;10 579;10 144;10 216;10 479;10 539;10 379;10 520
LOW_FALL;10 521;10 579;10 144;10 216;10 479;10 539;10 379;10 520;10 858;10 988;10 323;10 479
NEUTRAL;10 479;10 539;10 379;10 520;10 858;10 988;10 323;10 479;11 093;11 093;10 782;10 861
LOW_FALL;10 858;10 988;10 323;10 479;11 093;11 093;10 782;10 861;10 900;11 164;10 892;11 093
LOW_FALL;11 093;11 093;10 782;10 861;10 900;11 164;10 892;11 093;10 938;11 040;10 833;10 900
LOW_RAISE;10 900;11 164;10 892;11 093;10 938;11 040;10 833;10 900;11 000;11 058;10 765;10 938
NEUTRAL;10 938;11 040;10 833;10 900;11 000;11 058;10 765;10 938;10 870;11 101;10 681;11 000
NEUTRAL;11 000;11 058;10 765;10 938;10 870;11 101;10 681;11 000;10 697;10 944;10 634;10 870
LOW_RAISE;10 870;11 101;10 681;11 000;10 697;10 944;10 634;10 870;10 324;10 752;10 262;10 694
LOW_RAISE;10 697;10 944;10 634;10 870;10 324;10 752;10 262;10 694;10 446;10 586;10 231;10 324
LOW_RAISE;10 324;10 752;10 262;10 694;10 446;10 586;10 231;10 324;10 329;10 485;10 289;10 447
LOW_FALL;10 446;10 586;10 231;10 324;10 329;10 485;10 289;10 447;10 308;10 384;10 222;10 329
LOW_RAISE;10 329;10 485;10 289;10 447;10 308;10 384;10 222;10 329;10 265;10 476;10 187;10 307
NEUTRAL;10 308;10 384;10 222;10 329;10 265;10 476;10 187;10 307;10 027;10 351;9 891;10 265
NEUTRAL;10 265;10 476;10 187;10 307;10 027;10 351;9 891;10 265;10 142;10 437;9 953;10 030
LOW_RAISE;10 027;10 351;9 891;10 265;10 142;10 437;9 953;10 030;10 243;10 354;9 893;10 142
